Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/explore/posts?kind_name=photo&kind_name=video&start=2015-03-14T13:00:00.000Z&end=2015-03-15T12:59:59.999Z&place_id=550256016f5e2218d65daf60&place_id=54fd1d34c62697048325802e&place_id=54eebf5cc626971d230f4a5d,4,1,0:17:10,0,0.00%,25.00%,$0.00
/explore/posts?kind_name=photo&start=2015-02-02T13:00:00.000Z&end=2015-03-04T12:59:59.999Z,4,2,0:19:28,2,0.00%,50.00%,$0.00
/explore/posts?poster_id=4S-10361124&start=2015-03-10 17:00:00&end=2015-03-11 17:00:00,4,4,0:00:13,3,66.67%,50.00%,$0.00
/explore/posts?poster_id=4S-56736482&start=2015-03-06 17:00:00&end=2015-03-07 17:00:00,4,3,0:00:18,3,33.33%,50.00%,$0.00
/explore/posts?poster_id=4S-88594968&start=2015-03-13T10:00:00.000Z&end=2015-03-14T10:00:00.000Z,4,3,0:05:32,1,100.00%,75.00%,$0.00
/explore/posts?poster_id=IG-104815852,4,2,0:01:40,0,0.00%,25.00%,$0.00
/explore/posts?poster_id=IG-1147661510,4,1,0:00:06,0,0.00%,25.00%,$0.00
/explore/posts?poster_id=IG-1372661292,4,2,0:09:23,1,0.00%,25.00%,$0.00
/explore/posts?poster_id=IG-1713983522&start=2015-02-20 13:00:00&end=2015-02-21 13:00:00,4,1,0:00:04,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-184877115,4,1,0:00:25,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-20315007,4,2,0:01:03,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-21901732,4,2,0:00:08,0,0.00%,25.00%,$0.00
/explore/posts?poster_id=IG-21997075,4,1,0:00:15,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-239727980,4,2,0:02:19,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-2524245,4,2,0:00:48,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-364663155&start=2015-03-18 11:00:00&end=2015-03-19 11:00:00,4,2,0:00:43,2,50.00%,25.00%,$0.00
/explore/posts?poster_id=IG-3724687&start=2015-02-22T02:00:00.000Z&end=2015-02-23T04:59:59.999Z&tag_id=54e5e79fc62697136bed734b,4,1,0:00:38,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-430436321&start=2015-03-09 13:00:00&end=2015-03-10 13:00:00,4,2,0:01:11,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=IG-5270281&start=2015-03-03 13:00:00&end=2015-03-04 13:00:00,4,1,0:00:09,0,0.00%,25.00%,$0.00
/explore/posts?poster_id=TW-40255499&start=2015-02-19T00:00:00.000Z&end=2015-02-20T04:59:59.999Z,4,1,0:00:12,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-90636188,4,3,0:03:39,0,0.00%,0.00%,$0.00
/explore/posts?poster_id=TW-90636188&kind_name=photo&kind_name=video&start=2015-03-13T04:00:00.000Z&end=2015-03-14T12:59:59.999Z,4,1,0:02:30,0,0.00%,0.00%,$0.00
/explore/posts?start=2014-01-31T13:00:00.000Z&end=2015-02-20T12:59:59.999Z,4,4,0:00:00,3,50.00%,100.00%,$0.00
/explore/posts?start=2014-02-28T13:00:00.000Z&end=2015-03-04T12:59:59.999Z,4,2,0:01:11,0,0.00%,50.00%,$0.00
/explore/posts?start=2014-02-28T16:00:00.000Z&end=2015-03-11T15:59:59.999Z,4,4,0:02:18,1,0.00%,50.00%,$0.00
